id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,1.0,5208610529,34,5208610529,59867919,1.006,0.998277,-0.0007391145214410001,-0.07385000000000001,288749.0,0.005540000000000001,5209086642.869998,5209086642.869998,10003352445917.512,1.032,-3.13389,2023-12-20T15:38:34.596Z,0.9294859999999999,7.55814,2024-10-04T07:57:15.809Z,Unknown,2025-05-25T20:37:27.618Z
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,32.24,4646760669,35,10498430774,29132017,32.28,31.61,0.363469,1.14014,55331990.0,1.20511,144118517.10815412,325607102.0,400000000.0,32.28,-0.1993,2025-05-25T18:35:45.393Z,3.06,952.2074,2023-02-13T19:01:21.899Z,Unknown,2025-05-25T20:37:29.328Z
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,107548.0,4558185831,36,4558185831,192797069,109132.0,106693.0,-1583.6419200372184,-1.45112,-29534822.507907867,-0.64378,42365.84854968,42365.84854968,10003352445917.512,112129.0,-4.07715,2025-05-22T19:26:16.485Z,57439.0,87.25581,2024-09-12T14:07:41.775Z,Unknown,2025-05-25T20:37:22.132Z
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,263.22,3985153404,37,4211671670,534511554,269.19,257.74,-1.464732505391055,-0.55339,-22808355.97715187,-0.56908,15139464.6737065,16000000.0,16000000.0,661.69,-60.15873,2021-05-18T21:19:59.514Z,26.02,913.04325,2020-11-05T09:20:11.928Z,Unknown,2025-05-25T20:37:29.485Z
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.999922,3707122668,38,3707122668,59037635,1.0,0.9995419999999999,-0.00019961441811000002,-0.019960000000000002,13894490.0,0.37622000000000005,3707387395.151904,3707387395.151904,10003352445917.512,1.22,-17.9634,2020-03-13T03:02:50.373Z,0.8819600000000001,13.38034,2023-03-11T07:50:50.514Z,Unknown,2025-05-25T20:37:28.924Z
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,422.76,3687727242,39,8877214562,88240407,436.41,412.78,-12.414538956582192,-2.85276,-109660769.91653728,-2.88779,8723713.0,21000000.0,21000000.0,757.6,-44.24068,2024-03-07T18:45:36.466Z,30.83,1270.21012,2023-05-14T08:57:53.732Z,Unknown,2025-05-25T20:37:22.797Z
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,6.03,3622860408,40,6033243178,201911528,6.2,5.92,-0.168784082790813,-2.72186,-100766797.32321548,-2.70615,600483073.71,1000000000.0,1000000000.0,44.92,-86.55971,2021-05-03T05:25:04.822Z,1.03,486.03087,2020-09-17T01:20:38.214Z,Unknown,2025-05-25T20:37:26.406Z
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,2.68,3271971262,41,3361542820,168843638,2.8,2.66,-0.11786748385026401,-4.20542,-140935298.14569664,-4.12948,1218629665.0,1251990153.0,10003352445917.512,20.44,-86.86541,2022-01-16T22:09:45.873Z,0.526762,409.61575,2020-11-04T16:09:15.137Z,Unknown,2025-05-25T20:37:22.233Z
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,5.14,3253712134,42,5922985293,162084270,5.4,5.03,-0.259309201760405,-4.80287,-158245781.9129877,-4.63798,633120943.7767196,1152519302.566509,10003352445917.512,19.92,-74.20723,2023-01-26T14:25:17.390Z,3.08,66.83,2022-12-29T21:35:14.796Z,Unknown,2025-05-25T20:37:26.068Z
jito-staked-sol,jitosol,Jito Staked SOL,https://coin-images.coingecko.com/coins/images/28046/large/JitoSOL-200.png?1696527060,207.25,3135854121,43,3135854121,42380549,214.04,203.98,-6.516793442176947,-3.04854,-98390683.88958931,-3.04215,15136022.61183786,15136022.61183786,10003352445917.512,339.52,-38.99298,2025-01-19T11:21:54.080Z,0.57898,35675.22887,2023-09-12T10:21:17.665Z,Unknown,2025-05-25T20:37:27.809Z
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,52.03,3121125512,44,12274225855,7081295,52.4,51.8,-0.30683883179729304,-0.5862900000000001,-18945017.53352785,-0.60333,60000000.0,235957685.3,300000000.0,73.8,-29.74965,2024-03-14T00:30:12.502Z,0.580608,8829.79532,2019-01-14T00:00:00.000Z,Unknown,2025-05-25T20:37:28.951Z
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,1.0,2922443478,45,2922443478,0,1.0,1.0,0.0,0.0,0.0,0.0,2922443478.453854,2922443478.453854,10003352445917.512,1.0,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z,Unknown,2025-05-25T20:35:04.677Z
ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,0.923836,2917990567,46,9236756079,126874477,0.9505100000000001,0.9069659999999999,-0.026557314582081003,-2.79435,-79908107.86158037,-2.66547,3159107529.0,10000000000.0,10000000000.0,2.14,-56.87249,2024-12-16T00:36:00.777Z,0.082171,1023.2628,2024-01-18T12:14:30.524Z,Unknown,2025-05-25T20:37:25.787Z
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.09505799999999999,2838264172,47,9291849583,18350583,0.09610099999999999,0.09375399999999999,-0.0009480800984230001,-0.9875200000000001,-26805091.46774435,-0.9355800000000001,29847430807.89125,97713891566.26186,100000000000.0,0.9654069999999999,-90.15664,2021-11-24T15:53:54.855Z,0.0121196,684.08978,2019-02-08T00:00:00.000Z,Unknown,2025-05-25T20:37:29.715Z
ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,18.04,2743335766,48,2743335766,50487017,18.57,17.92,-0.536594565656642,-2.88898,-79731656.31558037,-2.82429,152056623.0200431,152056623.0200431,210700000.0,167.09,-89.1932,2021-05-06T18:34:22.133Z,0.615038,2835.84825,2016-07-25T00:00:00.000Z,"{'times': 39.082726157682714, 'currency': 'usd', 'percentage': 3908.272615768271}",2025-05-25T20:37:21.238Z
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.104352,2735921326,49,2736015953,58158302,0.10935399999999999,0.102438,-0.004822781600779,-4.4175,-119763944.50692797,-4.19388,26220605727.28282,26221512622.2828,28704026601.0,0.20741099999999998,-49.807,2024-08-01T00:40:47.164Z,0.00017105,60762.93793,2022-05-26T14:42:59.316Z,Unknown,2025-05-25T20:37:21.802Z
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,5.12,2733119945,50,2733119945,53975614,5.26,5.04,-0.13894940964152,-2.64106,-70672177.21724176,-2.52059,533566714.3358948,533566714.3358948,10003352445917.512,700.65,-99.26942,2021-05-10T16:05:53.653Z,2.87,78.66373,2023-09-22T00:29:57.369Z,Unknown,2025-05-25T20:37:28.121Z
